#Thread	Original Vehicle	Seats	Cars	Bikes	Helicopters	Boats	Trains	Flags	Alternate Coordinates			Alt Coord Notes
									X	Y	Z	
roman1	Rom	2	Y	Y	Y	N	N					
roman2	Rom	2	C	Y	C	N	N	none	6	20	0	If large vehicle / heli
roman3	Rom	4	C	N	C	N	N	none	4	13	0	If large vehicle / heli
roman4	Rom	2	Y	Y	Y	N	N					
roman5	Rom	4	C	N	C	N	N	none	6	20	0	If large vehicle / heli
michelle1	Merit	2	Y	Y	Y	N	N					
vlad3	Blista	1	Y	Y	N	N	N	washable				
faustin1	Speedo	2	Y	N	Y	N	N					
faustin5	Flatbed	1	Y	Y	C	N	N	none	-21	-10	0	If heli
brucie2	Oracle	1	Y	Y	C	N	N	none	42	10	0	If heli
brucie4	Comet	2	Y	Y	C	N	N	none	-16	-12	0	If heli
elizabeta4	Voodoo	1	Y	Y	C	N	N	none	9	10	0	If heli
packie1	Yankee	2	Y	Y	C	N	N	none	30	10	1	If heli
packie2	Dinghy	2	C	C	C	Y	N	none	-60	29	8.4	For non-boats  (marker is on pier  and after you enter  the vehicle, it doesn't  need to make it there)
cia3	Maverick	1	Y	Y	Y	N	N					
cia4	Maverick	2	N	N	Y	N	N					
gerry2	Pcj	1	C	Y	C	N	N	none	18.6	-15	0.5	If large vehicle / heli
derrick2	Squalo	2	N	N	C	Y	N	start_rotors	0	0	12	If heli
derrick2	Reefer	1	N	N	C	Y	N	start_rotors	0	0	12	If heli
derrick2	Dinghy	2	Y	Y	Y	Y	N					Most likely scripted
derrick3	Biff	1	Y	Y	N	N	N					
derrick3	Pstockade	4	Y	N	N	N	N					
derrick3	Pres	4	Y	N	N	N	N					
francis6	Romero	2	Y	Y	Y	N	N					
ray2	Trash	2	Y	Y	C	N	N	none	0	16	0	If heli
gerry3b	Feltzer	2	C	Y	C	N	N	none	13	-0.6	0	If large vehicle / heli
ray5	Bobber	1	Y	Y	N	N	N					
gerry4	Vincent	1	Y	Y	Y	N	N					
gerry5	Vincent	4	Y	Y	Y	N	N	none	-5.5	21	-0.5	
bernie3	Tropic	2	N	N	C	Y	N	start_rotors	0	0	12	If heli
bernie3	Squalo	2	N	N	C	Y	N	start_rotors	0	0	12	If heli
bell6	Mule	1	Y	Y	Y	N	N					
jimmy1	Schafter	4	Y	N	Y	N	N					
bell2	Steed	2	Y	Y	C	N	N	none	0	-14	0	If heli
bell2	Squalo	1	N	N	N	Y	N					
bell7	Washington	2	Y	Y	N	N	N					
bell7	Speedo	4	Y	N	Y	N	N	none	10	8	0	
gambetti1	Lokus	4	Y	Y	Y	N	N					
gambetti3	Pony	1	Y	Y	Y	Y	N					
finale2	Cognoscenti	2	Y	Y	Y	N	N					
finale2	Squalo	1	N	N	N	Y	N					
finale2	Sanchez	1	N	Y	N	N	N	none	7	-30	0	If car / heli
finale2	Annihilator	2	N	N	Y	N	N					
